city,date,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination
Jos,2022-08-25 01:14,06:16 AM,06:37 PM,04:39 AM,05:35 PM,Waning Crescent,3
city,date,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination
Port Harcourt,2022-08-25 01:14,06:27 AM,06:41 PM,04:55 AM,05:35 PM,Waning Crescent,3
city,date,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination
Sokoto,2022-08-25 01:14,06:27 AM,06:54 PM,04:47 AM,05:55 PM,Waning Crescent,3
city,date,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination
Jalingo,2022-08-25 01:14,06:06 AM,06:26 PM,04:30 AM,05:23 PM,Waning Crescent,3
city,date,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination
Damaturu,2022-08-25 01:14,06:02 AM,06:26 PM,04:22 AM,05:26 PM,Waning Crescent,3
city,date,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination
Gusau,2022-08-25 01:14,06:22 AM,06:48 PM,04:43 AM,05:48 PM,Waning Crescent,3
city,date,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination
Abuja,2022-08-25 01:14,06:23 AM,06:44 PM,04:47 AM,05:42 PM,Waning Crescent,3
